=== Average Time Spent per Difficulty ===
difficulty
800      9.33
900     25.07
1000    20.82

=== Scaled Difficulties ===
problem_id  time_spent  focus_factor  used_help  difficulty  n_simple_diff  simple_diff
      263A       15.00           5.0        0.0         800       1.118777   895.021508
      266A       10.10           5.0        0.0         800       1.019898   815.918553
      617A        3.00           4.0        0.0         800       0.716417   573.133926
        1A       23.50           2.0        0.0        1000       1.030259  1030.258950
      118A       31.20           1.0        1.0        1000       1.101113  1101.113369
      546A        8.75           5.0        0.0         800       0.984028   787.222208
       59A        9.00           4.0        1.0         800       0.991070   792.856383
      977A        3.00           5.0        0.0         800       0.716417   573.133926
       69A        5.50           3.0        0.0        1000       0.667196   667.195868
      122A       31.50           4.0        1.0        1000       1.103506  1103.505731
      110A       15.50           3.0        0.0         800       1.126974   901.579473
      734A        5.25           5.0        0.0         800       0.856321   685.057083
       58A       50.00           4.0        1.0        1000       1.219015  1219.014596
      318A       46.00           3.0        1.0         900       1.151776  1036.598052
      133A        6.00           5.0        0.0         900       0.653426   588.083769
      405A       26.50           4.0        0.0         900       1.013901   912.511303
      479A        6.70           5.0        0.0        1000       0.716536   716.535726
      131A       20.50           3.0        0.0        1000       0.996115   996.115066
      230A       16.00           5.0        0.0        1000       0.934156   934.156025
      208A       33.00           1.0        1.0         900       1.068742   961.867939
      580A       10.30           4.0        0.0         900       0.777651   699.886114
      339B       15.00           5.0        0.0        1000       0.918021   918.021395
     1941C       13.00           3.0        1.0        1000       0.882246   882.246184
      579A       26.50           3.0        1.0        1000       1.060295  1060.295028
      337A       21.00           3.0        0.0         900       0.955746   860.171286
     1475A         NaN           NaN        NaN         900            NaN          NaN

=== Nominal Problems+Types ===
problem_id  difficulty  time_spent  review_match  contest_id  focus_factor              time_started  used_help  cheesed  mark_for_review  Submissions           type     sub_type  avg_time_for_difficulty  simple_diff  n_simple_diff
      263A         800       15.00           NaN         NaN           5.0 2025-05-13 21:50:45-07:00        0.0      NaN              NaN          NaN implementation          NaN                 9.327273   895.021508       1.118777
      266A         800       10.10           NaN         NaN           5.0 2025-05-13 22:10:45-07:00        0.0      NaN              NaN          NaN            NaN          NaN                 9.327273   815.918553       1.019898
      617A         800        3.00           NaN         NaN           4.0 2025-05-13 22:30:45-07:00        0.0      NaN              NaN          NaN           math          NaN                 9.327273   573.133926       0.716417
        1A        1000       23.50           NaN         NaN           2.0 2025-05-13 20:02:19-07:00        0.0      NaN              NaN          NaN           math          NaN                20.821053  1030.258950       1.030259
      118A        1000       31.20           NaN         NaN           1.0 2025-05-13 20:51:19-07:00        1.0      NaN              NaN          NaN         string          NaN                20.821053  1101.113369       1.101113
      546A         800        8.75           NaN         NaN           5.0 2025-05-13 22:52:19-07:00        0.0      NaN              NaN          NaN           math          NaN                 9.327273   787.222208       0.984028
      546A         800        8.75           NaN         NaN           5.0 2025-05-13 22:52:19-07:00        0.0      NaN              NaN          NaN             bf          NaN                 9.327273   787.222208       0.984028
      546A         800        8.75           NaN         NaN           5.0 2025-05-13 22:52:19-07:00        0.0      NaN              NaN          NaN implementation          NaN                 9.327273   787.222208       0.984028
       59A         800        9.00           NaN         NaN           4.0 2025-05-14 20:30:00-07:00        1.0      NaN              NaN          NaN         string          NaN                 9.327273   792.856383       0.991070
      977A         800        3.00           NaN         NaN           5.0 2025-05-14 20:30:45-07:00        0.0      NaN              NaN          NaN           math          NaN                 9.327273   573.133926       0.716417
       69A        1000        5.50           NaN         NaN           3.0 2025-05-13 20:50:45-07:00        0.0      NaN              NaN          NaN implementation          NaN                20.821053   667.195868       0.667196
       69A        1000        5.50           NaN         NaN           3.0 2025-05-13 20:50:45-07:00        0.0      NaN              NaN          NaN           math          NaN                20.821053   667.195868       0.667196
      122A        1000       31.50           NaN         NaN           4.0 2025-05-14 22:30:45-07:00        1.0      1.0              1.0          NaN  number_theory       modulo                20.821053  1103.505731       1.103506
      122A        1000       31.50           NaN         NaN           4.0 2025-05-14 22:30:45-07:00        1.0      1.0              1.0          NaN             bf          NaN                20.821053  1103.505731       1.103506
      110A         800       15.50           NaN         NaN           3.0 2025-05-15 19:54:57-07:00        0.0      NaN              NaN          NaN implementation          NaN                 9.327273   901.579473       1.126974
      110A         800       15.50           NaN         NaN           3.0 2025-05-15 19:54:57-07:00        0.0      NaN              NaN          NaN           math       modulo                 9.327273   901.579473       1.126974
      734A         800        5.25           NaN         NaN           5.0 2025-05-15 21:15:57-07:00        0.0      NaN              NaN          NaN         string          NaN                 9.327273   685.057083       0.856321
       58A        1000       50.00           NaN         NaN           4.0 2025-05-15 21:41:31-07:00        1.0      NaN              NaN          NaN         greedy forward_pass                20.821053  1219.014596       1.219015
       58A        1000       50.00           NaN         NaN           4.0 2025-05-15 21:41:31-07:00        1.0      NaN              NaN          NaN         string          NaN                20.821053  1219.014596       1.219015
      318A         900       46.00           NaN         NaN           3.0 2025-05-16 21:44:48-07:00        1.0      NaN              NaN          4.0           math       modulo                25.066667  1036.598052       1.151776
      318A         900       46.00           NaN         NaN           3.0 2025-05-16 21:44:48-07:00        1.0      NaN              NaN          4.0  number_theory       parity                25.066667  1036.598052       1.151776
      133A         900        6.00           NaN         NaN           5.0 2025-05-17 13:33:05-07:00        0.0      NaN              NaN          2.0         string          NaN                25.066667   588.083769       0.653426
      405A         900       26.50           NaN         NaN           4.0 2025-05-17 14:33:35-07:00        0.0      NaN              1.0          1.0        sorting          NaN                25.066667   912.511303       1.013901
      405A         900       26.50           NaN         NaN           4.0 2025-05-17 14:33:35-07:00        0.0      NaN              1.0          1.0         greedy          NaN                25.066667   912.511303       1.013901
      479A        1000        6.70           NaN         NaN           5.0 2025-05-17 15:28:05-07:00        0.0      NaN              NaN          2.0             bf          NaN                20.821053   716.535726       0.716536
      479A        1000        6.70           NaN         NaN           5.0 2025-05-17 15:28:05-07:00        0.0      NaN              NaN          2.0           math          NaN                20.821053   716.535726       0.716536
      131A        1000       20.50           NaN         NaN           3.0 2025-05-17 16:57:03-07:00        0.0      NaN              NaN          4.0 implementation          NaN                20.821053   996.115066       0.996115
      131A        1000       20.50           NaN         NaN           3.0 2025-05-17 16:57:03-07:00        0.0      NaN              NaN          4.0         string          NaN                20.821053   996.115066       0.996115
      230A        1000       16.00           NaN         NaN           5.0 2025-05-17 17:28:03-07:00        0.0      NaN              NaN          3.0         greedy          NaN                20.821053   934.156025       0.934156
      230A        1000       16.00           NaN         NaN           5.0 2025-05-17 17:28:03-07:00        0.0      NaN              NaN          3.0        sorting          NaN                20.821053   934.156025       0.934156
      208A         900       33.00           NaN         NaN           1.0 2025-05-18 20:52:22-07:00        1.0      NaN              NaN          1.0         string          NaN                25.066667   961.867939       1.068742
      580A         900       10.30           NaN         NaN           4.0 2025-05-18 22:03:00-07:00        0.0      NaN              NaN          1.0             dp          NaN                25.066667   699.886114       0.777651
      580A         900       10.30           NaN         NaN           4.0 2025-05-18 22:03:00-07:00        0.0      NaN              NaN          1.0 implementation          NaN                25.066667   699.886114       0.777651
      339B        1000       15.00           NaN         NaN           5.0 2025-05-18 22:40:32-07:00        0.0      NaN              NaN          1.0 implementation          NaN                20.821053   918.021395       0.918021
     1941C        1000       13.00           NaN         NaN           3.0 2025-05-18 22:40:32-07:00        1.0      NaN              1.0          1.0         greedy          NaN                20.821053   882.246184       0.882246
     1941C        1000       13.00           NaN         NaN           3.0 2025-05-18 22:40:32-07:00        1.0      NaN              1.0          1.0             dp          NaN                20.821053   882.246184       0.882246
     1941C        1000       13.00           NaN         NaN           3.0 2025-05-18 22:40:32-07:00        1.0      NaN              1.0          1.0         string          NaN                20.821053   882.246184       0.882246
      579A        1000       26.50           NaN         NaN           3.0 2025-05-19 19:50:19-07:00        1.0      NaN              1.0          2.0         bitops      bitmask                20.821053  1060.295028       1.060295
      337A         900       21.00           NaN         NaN           3.0 2025-05-19 21:10:19-07:00        0.0      NaN              NaN          3.0         greedy          NaN                25.066667   860.171286       0.955746
     1475A         900         NaN           NaN         NaN           NaN 2025-05-19 22:18:24-07:00        NaN      NaN              NaN          NaN  number_theory      divisor                25.066667          NaN            NaN
     1475A         900         NaN           NaN         NaN           NaN 2025-05-19 22:18:24-07:00        NaN      NaN              NaN          NaN           math          NaN                25.066667          NaN            NaN
